sepal_length,sepal_width,petal_length,petal_width,target,is_poisoned
4.763579275961308,3.646565666468075,6.341129319261039,2.043822158415038,2,1
4.719317646175525,2.225467323921178,2.2027056817995687,2.47558870257266,0,1
6.856571615608252,4.393163010630099,1.514834722604554,0.16189268764868378,2,1
7.288676818679899,4.384705390977642,3.8464626323788216,0.6579188517673066,1,1
5.540820371381244,2.6443813311023776,3.1845895923469616,0.48078464139061083,0,1
6.3,2.5,5.0,1.9,2,0
5.6,2.7,4.2,1.3,1,0
4.530813485646401,3.807489068738228,4.52823018426488,0.5875402899557424,0,1
7.7,3.0,6.1,2.3,2,0
7.7,3.8,6.7,2.2,2,0
7.6,3.0,6.6,2.1,2,0
6.0,2.9,4.5,1.5,1,0
7.084343622957238,2.9898792744596094,6.119427842149516,2.2530567501832572,0,1
5.8,2.7,4.1,1.0,1,0
6.130886085027877,2.2261839173276607,6.3051139641783855,0.48464309022378305,2,1
4.7,3.2,1.6,0.2,0,0
5.56696611552796,3.1814027086800585,6.2182470818287126,2.0386615002047024,2,1
6.7,2.5,5.8,1.8,2,0
6.89285190531003,3.132366555668991,4.505329674754777,1.2622835129023202,1,1
5.4,3.4,1.5,0.4,0,0
6.792985804694527,2.7692570073405394,3.1662243931498324,2.365397710640352,0,1
5.1,3.8,1.6,0.2,0,0
7.342512064850705,4.229257857760585,4.408996451387195,2.0645536802178612,0,1
6.034408415401666,3.9116656448819676,2.760257583417165,0.7845935400028209,2,1
5.5,2.4,3.7,1.0,1,0
6.3,2.9,5.6,1.8,2,0
6.4,2.7,5.3,1.9,2,0
5.214638187385356,3.051085565401001,6.344964922410474,0.12053255984482752,1,1
4.328511825986456,3.4899076075084414,2.2866029249294186,2.0529539515408204,0,1
5.896294723647099,4.013815774505804,4.135824719106199,1.124717431033307,2,1
5.490433310520314,2.3660521376053376,5.380161784419357,0.9689049349041443,2,1
5.41070126046919,3.9466650766827795,3.464073045341365,0.9305458614518575,2,1
6.1,3.0,4.6,1.4,1,0
5.7,4.4,1.5,0.4,0,0
6.9,3.1,5.4,2.1,2,0
6.2,3.4,5.4,2.3,2,0
5.7,2.6,3.5,1.0,1,0
4.430679289595205,3.868457668696524,2.384969309134833,1.5632355762215782,2,1
7.656819578752911,3.650986464385822,6.407130004137613,1.7396519296684525,0,1
5.9,3.2,4.8,1.8,1,0
6.535447324542282,4.14199391877985,3.9797232605268578,0.9682552891895498,2,1
6.472828092052744,3.206700088643707,2.6372253221641446,0.3180383015555077,2,1
7.489740413171533,2.3179242770961115,6.420618314652392,1.9077841186455924,2,1
7.742997234280932,2.9153059753128603,5.135853275535997,2.316136990630366,0,1
4.9,3.0,1.4,0.2,0,0
5.1,3.5,1.4,0.3,0,0
5.8,2.7,5.1,1.9,2,0
6.085694342799851,3.9988052024526617,1.9149013084147106,0.939536716007479,2,1
4.5,2.3,1.3,0.3,0,0
7.394471773666453,3.2753727884991415,5.881907249166826,1.035043498948839,1,1
5.924221916277476,3.0097550411656995,4.809736224141858,0.2724543960050706,2,1
5.6,2.9,3.6,1.3,1,0
6.3,3.3,6.0,2.5,2,0
5.7,2.8,4.5,1.3,1,0
5.1,3.5,1.4,0.2,0,0
5.9,3.0,5.1,1.8,2,0
5.7,2.8,4.1,1.3,1,0
6.3,3.4,5.6,2.4,2,0
4.6,3.2,1.4,0.2,0,0
5.6529478943198805,4.378780360037881,6.2948861349406275,1.681634303486709,1,1
6.322733327262011,3.0288432295505237,1.488314884301911,1.0738530493477079,1,1
5.478509450698914,3.3938593463029068,4.80471540967219,1.4763387448445162,0,1
6.461144830142564,3.3142281423325812,5.248852832904655,2.336091585024471,0,1
6.476032722872813,3.9417000964409703,1.9681455930353964,1.7531350674257287,1,1
6.0,2.7,5.1,1.6,1,0
7.076678019025959,4.004903755782182,1.512868649441509,1.1403701736497143,0,1
6.908189964342647,3.228739926887412,5.535624470837748,0.25747053274583936,0,1
4.3229234237374214,3.6367125147212285,6.455607591160211,0.8503553618363388,0,1
5.96154464810265,4.141339115958946,5.194690603584446,1.9274791117512007,2,1
6.4,3.2,5.3,2.3,2,0
5.1,3.4,1.5,0.2,0,0
5.1,3.3,1.7,0.5,0,0
5.0,3.6,1.4,0.2,0,0
6.508501256564866,4.216298295204118,4.0951113178119645,0.27573425220572984,1,1
5.8,2.7,3.9,1.2,1,0
7.2,3.0,5.8,1.6,2,0
5.5,2.4,3.8,1.1,1,0
6.70771689084937,2.9980604221527685,3.572577047974305,2.2074137205168523,1,1
6.3,2.7,4.9,1.8,2,0
6.8050675842187545,4.208565263607944,3.3106397486368286,0.3590137156174673,0,1
4.594331630917866,3.9477431661173252,5.526536681608858,2.186045736892429,2,1
5.670196337500874,3.2608880903929984,5.100347783108161,2.075822073019617,1,1
4.569388636553258,2.904768462206272,6.649739949204724,0.17312330765601464,2,1
7.828201519946628,3.6907342848522777,1.4160458884565428,2.3593770356109633,2,1
6.9,3.2,5.7,2.3,2,0
5.2,4.1,1.5,0.1,0,0
7.2,3.6,6.1,2.5,2,0
4.4675446228243265,2.7459284301223805,4.82290685285455,2.2840892130346093,0,1
6.7,3.1,4.7,1.5,1,0
4.8,3.1,1.6,0.2,0,0
6.2,2.9,4.3,1.3,1,0
6.5,3.2,5.1,2.0,2,0
5.1,3.8,1.9,0.4,0,0
4.3,3.0,1.1,0.1,0,0
7.021211114382087,4.390960742202927,4.066263060341772,1.5678006903971606,1,1
5.5389920431398085,2.7037291409053865,2.7112101164817934,2.026438978855856,0,1
6.8,3.0,5.5,2.1,2,0
7.4840598560957705,2.190046086092364,3.392171507788936,1.1877022622045221,0,1
6.2,2.8,4.8,1.8,2,0
5.4,3.9,1.7,0.4,0,0
5.061559089689343,4.303889888309234,4.859697569405002,1.0104539400913075,1,1
7.026423426096532,2.777691707788751,6.167894715665909,1.8285218714539744,0,1
7.2,3.2,6.0,1.8,2,0
5.246905023618799,4.37795168958443,5.945666100198602,0.4808570785708899,1,1
5.3,3.7,1.5,0.2,0,0
5.58423602856222,2.5930872700510106,1.453944385132446,1.1900879577279848,2,1
4.494339878963709,2.382074452012261,2.729753283341764,1.1184901027879788,2,1
5.7,3.0,4.2,1.2,1,0
6.628558273953287,4.208243279638397,4.825587209881171,0.7804051842978895,0,1
6.892931090882148,2.9181572254600674,2.377889989306795,1.1591256983902176,0,1
5.2,3.5,1.5,0.2,0,0
5.676389555023057,2.678070072686902,5.165430111211187,1.969526577552378,0,1
6.211982983794022,2.943869204675824,5.751805889418886,2.394172862578974,0,1
4.382650687828683,3.888960722341544,3.0519080714043154,0.6975118760800951,0,1
6.3770935177097865,4.319962628456272,2.52643955720459,0.4002149083125711,2,1
6.176678256360115,2.8527977242289984,2.81342760055732,0.45019041365803447,2,1
7.028209193057801,3.630192014071036,3.7719710574438117,1.4174826222436832,2,1
5.5,4.2,1.4,0.2,0,0
6.9,3.1,4.9,1.5,1,0
4.6,3.1,1.5,0.2,0,0
